RespondentID,StartDate,EndDate,IPAddress,age,gender,pregnant,parent,parent_e_or_m,parent_hs,parent_daycare,parent_no,parent_refuse,schooltype,oversample,race,race1,edu,polparty,income,lostjob,state,university,pause_study,tech_access,dedicated_workspace,test_needed,test_able,test_notest_reason,test_timetotest,test_timetoresult,test_positive,test_hospital,risk_grocery,risk_gathering10,risk_gathering100,risk_doctor,risk_er,risk_dentist,risk_church,risk_returnwork,risk_diningoutdoor,risk_diningindoor,risk_friendsindoor,risk_friendsoutdoor,risk_elderly,risk_return_school_e,risk_return_school_m,risk_return_school_hs,risk_daycamp,risk_overnight,risk_playground,avoid_healthcare,avoid_meds,vac_exists,vac_timeline,vac_clinicaltrial,vac_receive,vac_receive_not,vac_receive_not_other,vac_flu,vac_flu_thisyear,vac_distribution,vac_info,treat_physician,treat_suppl,treat_distribution,mis_nomed,mis_lab,mis_vac_nov,mis_stopmask,stigma_wearmask,stigma_dontwearmask,stigma_hestitatetest,stigma_avoid_dr,stigma_irresponsible,stigma_ashame,stigma_wonttell,stigma_ashame_family,stigma_othersinf_ashame,stigma_notifyothers,agency_info,agency_resources,agency_lesscontrol,agency_no_control,agency_anxiety,school_return,school_feelingreturn,school_reopen_vaccine,school_reopen_testing,school_reopening_maskseveryone,school_reopening_staff_req_mask,school_reopening_student_req_mas,school_reopening__handwash,school_reopening_cdc,school_reopening_temp,school_reopening_handsanitizer,school_reopening_cafeteria,school_reopening_staggerschedule,school_reopening_limitclasssize,school_reopening_cleaning,school_reopening_other,school_reopening_otherspecify,school_top5_vaccine,school_top5_testing,school_top5_maskseveryone,school_top5_staff_req_mask,school_top5_student_req_mask,school_top5__handwash,school_top5_cdc,school_top5_temp,school_top5_handsanitizer,school_top5_cafeteria,school_top5_staggerschedule,school_top5_limitclasssize,school_top5_cleaning,school_top5_other,school_top5_otherspecify,school_2021_nodaycare,school_2021_burden,school_2021_morningcare,school_2021_eveningcare,school_2021_meals,school_2021_transportation,school_2021_none,school_2021_refuse,school_tech,school_safety,school_safety_vulnerable,school_safety_temp,school_safety_stagger,school_safety_masks,school_safety_testing,school_switchschool,school_confident,preg_planning_vagtoc,preg_planning_csection,preg_planning_hosptohome,preg_planning_hometohosp,preg_planning_nochange,preg_planning_refuse,preg_anc_cancel,preg_anc_morevisit,preg_anc_phone,preg_anc_none,preg_anc_refuse,preg_distress,preg_prenatalsupport,complete,risk_grocery_col,risk_gathering10_col,risk_gathering100_col,risk_doctor_col,risk_er_col,risk_dentist_col,risk_church_col,risk_returnwork_col,risk_diningoutdoor_col,risk_diningindoor_col,risk_friendsindoor_col,risk_friendsoutdoor_col,risk_elderly_col,risk_return_school_e_col,risk_return_school_m_col,risk_return_school_hs_col,risk_daycamp_col,risk_overnight_col,risk_playground_col,stigma_wearmask_col,stigma_dontwearmask_col,stigma_hestitatetest_col,stigma_avoid_dr_col,stigma_irresponsible_col,stigma_ashame_col,stigma_wonttell_col,stigma_ashame_family_col,stigma_othersinf_ashame_col,stigma_notifyothers_col,agency_info_col,agency_resources_col,agency_lesscontrol_col,agency_no_control_col,agency_anxiety_col,vac_clinicaltrial_col,vac_receive_col,vac_flu_thisyear_col
11958288744,9/3/2020 2:01,9/3/2020 2:08,47.39.245.1,18-24,male,,none,0,0,0,1,0,,nationally representative,AA,AA,HS or less,Dem,<10K,No,Georgia,No,,,,No,,,,,,,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,No,No,No,DK,3,extr. unwilling,Do not trust the COVID-19 vaccine to be safe,,No,not likely,DK,Prefer not to say,refuse,Refused,DK,unsure,unsure,unsure,unsure,agree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,agree,agree,agree,agree,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,No,Not concerned at this time,Unsure/no opinion,Unsure/no opinion,Unsure/no opinion,Unsure/no opinion,Unsure/no opinion,Unsure,Unsure/no opinion,,,,,,,,,,,,,,1,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,unsure,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,extr unwilling or unwiling,extr unwilling or unwiling,extr unwilling or unwiling
11961402056,9/4/2020 1:47,9/4/2020 1:59,72.196.7.95,45-54,male,,elem/midd only,1,0,0,0,0,Public school,nationally representative,white,white,Bachelors,Rep.,100K-149K,No,Nebraska,No,,,,Yes,Yes,,1-2 days,3-5 days,No,,somewhat safe,extr. unsafe,extr. unsafe,somewhat unsafe,somewhat unsafe,somewhat safe,extr. unsafe,extr. unsafe,somewhat safe,extr. unsafe,extr. unsafe,somewhat safe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,Yes,No,No,<6 m,extr. willing or willing,willing,,,Yes,ext. likely,HC workers,Your primary care doctor,extr. disagree,No,HC workers,agree,disagree,disagree,disagree,extr. disagree,extr. agree,extr. disagree,extr. disagree,extr. agree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. agree,extr. agree,agree,agree,extr. disagree,yes,My current financial situation will force me to send my child back to school because I/we work and cannot afford childcare,COVID-19 vaccine availability,,Availability of masks/face-coverings for everyone,Requirement for teachers/staff to wear a mask/face-covering,Requirement for students to wear a mask/face-covering,,,,,,,,Enhanced cleaning of surfaces in the schools.,,,1,,4,2,3,,,,,,,,5,,,,Carrying out distance learning from home will place an extremely difficult burden on my family,,,,,,,Yes,Very concerned,Mandatory,Too much/excessive,Mandatory,Mandatory,Recommended,Likely,Not at all confident,,,,,,,,,,,,,,1,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong disagree or disagree,extr. willing or willing,extr. willing or willing,extr. willing or willing
11957543835,9/3/2020 10:16,9/3/2020 10:22,71.58.117.71,45-54,male,,elem/midd only,1,0,0,0,0,Public school,nationally representative,white,white,Graduate,Rep.,70K-84K,No,Pennsylvania,No,,,,No,,,,,,,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,somewhat unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,Yes,No,Yes,already exists,extr unwilling or unwiling,extr. willing,,,Yes,ext. likely,HC workers,Your primary care doctor,extr. agree,Yes,HC workers,disagree,unsure,unsure,disagree,extr. disagree,agree,disagree,disagree,agree,extr. disagree,extr. disagree,extr. disagree,disagree,extr. disagree,agree,agree,extr. agree,agree,agree,no,My child will only return if there is a vaccine available,COVID-19 vaccine availability,COVID-19 testing and COVID-19 antibody testing availability,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,Carrying out distance learning from home will place an extremely difficult burden on my family,,,,,,,Yes,Very concerned,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Extremely likely,Not at all confident,,,,,,,,,,,,,,1,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,extr. willing or willing,extr. willing or willing,extr. willing or willing
11954393525,9/2/2020 11:01,9/2/2020 11:06,76.105.16.207,18-24,female,no,elem/midd only,1,0,0,0,0,Public school,nationally representative,Latino,Latino,Bachelors,Independent,50K-69K,No,California,Yes,Yes,Yes,Yes,No,,,,,,,somewhat unsafe,extr. unsafe,extr. unsafe,somewhat safe,somewhat unsafe,somewhat safe,extr. unsafe,somewhat unsafe,extr. unsafe,extr. unsafe,somewhat safe,somewhat safe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,Yes,No,No,> 2yrs,4,extr. unwilling,Do not trust the COVID-19 vaccine to be safe,,No,not likely,Govt officials,Your family,agree,No,elderly,unsure,agree,disagree,disagree,extr. disagree,agree,refuse,extr. disagree,disagree,agree,agree,disagree,agree,agree,disagree,refuse,disagree,extr. disagree,agree,Depends on what plans school district makes,"My child will only return if social distancing, handwashing, face-covering guidelines, and temperature checks are enforced",,,,,,,Staff are trained on CDC guidance to reduce likelihood of COVID-19 transmission,Temperature screening for students and staff each day,Hand sanitizer is provided in each classroom and is frequently used,Cafeteria seating is spaced for proper social distancing and food in individually packaged,,Limiting classroom seating to maintain social distancing,,,,,,,,,,2,3,4,5,,1,,,,,,,,,,None of these apply to me,,Yes,Very concerned,Recommended,Unsure/no opinion,Too much/excessive,Prefer not to say,Mandatory,Extremely likely,Not at all confident,,,,,,,,,,,,,,1,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong agree or agree,unsure,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong disagree or disagree,unsure,strong disagree or disagree,strong disagree or disagree,strong agree or agree,extr unwilling or unwiling,extr unwilling or unwiling,extr unwilling or unwiling
11951914907,9/1/2020 4:26,9/1/2020 4:33,23.243.244.116,55-64,female,no,none,0,0,0,1,0,,nationally representative,white,white,Bachelors,Dem,70K-84K,No,California,No,,,,No,,,,,,,unsure,extr. unsafe,extr. unsafe,somewhat safe,somewhat unsafe,somewhat safe,extr. unsafe,extr. safe,extr. unsafe,extr. unsafe,somewhat unsafe,somewhat safe,somewhat safe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,No,No,No,> 2yrs,extr. willing or willing,extr. willing,,,Yes,ext. likely,elderly,Local health department,extr. disagree,No,HC workers,agree,disagree,disagree,disagree,extr. disagree,extr. agree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. agree,agree,extr. agree,extr. disagree,disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,Didn't need to use any technology,Not concerned at this time,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Extremely likely,Not at all confident,,,,,,,,,,,,,,1,unsure,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,extr. willing or willing,extr. willing or willing,extr. willing or willing
11958850088,9/3/2020 5:19,9/3/2020 5:30,107.242.121.56,18-24,male,,none,0,0,0,1,0,,nationally representative,Latino,Latino,Some college but no degree,Independent,40K-49K,No,California,Yes,No,Yes,Yes,No,,,,,,,somewhat safe,somewhat safe,extr. unsafe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat unsafe,somewhat unsafe,somewhat unsafe,somewhat unsafe,somewhat unsafe,somewhat unsafe,somewhat unsafe,Didn't need to go,Didn't need to refill medications,No,<6 m,3,unwilling,Do not trust the COVID-19 vaccine to be safe,,Yes,likely,People with health conditions,The news media,agree,No,People with health conditions,agree,agree,disagree,disagree,extr. disagree,disagree,disagree,agree,agree,agree,agree,agree,disagree,agree,agree,agree,disagree,disagree,disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,Didn't need to use any technology,Slightly concerned,Too much/excessive,Recommended,Recommended,Mandatory,Mandatory,Likely,Confident,,,,,,,,,,,,,,1,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,extr unwilling or unwiling,extr unwilling or unwiling,extr. willing or willing
11956664190,9/3/2020 4:01,9/3/2020 4:15,68.61.227.173,65+,female,no,none,0,0,0,1,0,,nationally representative,AA,AA,HS or less,Dem,50K-69K,Retired,Michigan,No,,,,No,,,,,,,somewhat safe,unsure,somewhat unsafe,extr. safe,extr. safe,extr. safe,unsure,unsure,somewhat safe,unsure,somewhat safe,somewhat safe,somewhat safe,somewhat unsafe,somewhat unsafe,somewhat unsafe,somewhat unsafe,unsure,somewhat unsafe,Didn't need to go,No,No,12-18,4,extr. willing,,,Yes,ext. likely,HC workers,CDC,disagree,No,People with health conditions,agree,unsure,unsure,disagree,extr. disagree,extr. agree,extr. disagree,extr. disagree,disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. agree,agree,disagree,disagree,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,Didn't need to use any technology,Very concerned,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Extremely likely,Not that confident,,,,,,,,,,,,,,1,extr. safe/safe,unsure,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. safe/safe,unsure,unsure,extr. safe/safe,unsure,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,unsure,extr. unsafe/unsafe,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,extr unwilling or unwiling,extr. willing or willing,extr. willing or willing
11964046908,9/6/2020 12:55,9/6/2020 1:13,98.199.39.203,25-34,female,no,none,0,0,0,1,0,,oversample of AA and latino,Latino,Latino,Some college but no degree,Rep.,10K-19K,No,Texas,No,,,,No,,,,,,,somewhat safe,extr. unsafe,extr. unsafe,somewhat safe,somewhat unsafe,somewhat safe,somewhat unsafe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat safe,somewhat unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,Didn't need to go,Didn't need to refill medications,No,wont be available,extr unwilling or unwiling,unwilling,Concerned about the financial cost of vaccine,,No, extr. not likely,"1st come, 1st serve",CDC,extr. disagree,No,"1st come, 1st serve",agree,agree,disagree,disagree,extr. disagree,extr. agree,extr. disagree,extr. disagree,agree,disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. agree,agree,disagree,agree,agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,Yes,Prefer not to say,Mandatory,Recommended,Mandatory,Recommended,Recommended,Unlikely,Confident,,,,,,,,,,,,,,1,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong agree or agree,strong agree or agree,extr. willing or willing,extr unwilling or unwiling,extr unwilling or unwiling
11964007043,9/5/2020 11:54,9/6/2020 12:00,208.104.195.143,65+,male,,none,0,0,0,1,0,,oversample of AA and latino,AA,AA,Associate degree,Independent,50K-69K,Retired,South Carolina,No,,,,No,,,,,,,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,extr. safe,No,No,Yes,already exists,extr. willing or willing,extr. willing,,,Yes,ext. likely,elderly,Church,extr. agree,Yes,elderly,disagree,unsure,agree,disagree,extr. disagree,agree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. agree,extr. agree,extr. disagree,extr. disagree,extr. disagree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,Yes,Not concerned at this time,Recommended,Recommended,Recommended,Recommended,Recommended,Unsure,Very confident,,,,,,,,,,,,,,1,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,extr. safe/safe,strong disagree or disagree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,extr. willing or willing,extr. willing or willing,extr. willing or willing
11963892035,9/5/2020 9:15,9/5/2020 9:24,108.208.175.58,55-64,male,,none,0,0,0,1,0,,nationally representative,Am Indian,,Bachelors,Rep.,85K-99K,Yes,Alabama,No,,,,No,,,,,,,somewhat safe,somewhat unsafe,extr. unsafe,somewhat safe,somewhat unsafe,somewhat safe,somewhat safe,extr. unsafe,somewhat safe,somewhat safe,extr. unsafe,somewhat unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,extr. unsafe,No,No,No,6-12,extr unwilling or unwiling,extr. willing,,,Yes,ext. likely,elderly,Your primary care doctor,agree,No,elderly,unsure,agree,unsure,disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. disagree,extr. agree,extr. agree,agree,extr. disagree,extr. agree,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,None of these apply to me,,Yes,Very concerned,Mandatory,Mandatory,Mandatory,Mandatory,Mandatory,Unsure,Not that confident,,,,,,,,,,,,,,1,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. safe/safe,extr. safe/safe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,extr. unsafe/unsafe,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong disagree or disagree,strong agree or agree,strong agree or agree,strong agree or agree,strong disagree or disagree,strong agree or agree,extr. willing or willing,extr. willing or willing,extr. willing or willing
